cipName,cipCode,codeFamily,my_cat1,my_cat2
Agronomy and Crop Science,1.1102,1,Agriculture,Agriculture
Horticultural Science,1.1103,1,Agriculture,Agriculture
Agricultural and Horticultural Plant Breeding,1.1104,1,Agriculture,Agriculture
Plant Protection and Integrated Pest Management,1.1105,1,Agriculture,Agriculture
Range Science and Management,1.1106,1,Agriculture,Agriculture
"Plant Sciences, Other",1.1199,1,Agriculture,Agriculture
"Soil Science and Agronomy, General",1.1201,1,Agriculture,Agriculture
Soil Chemistry and Physics,1.1202,1,Agriculture,Agriculture
"Soil Sciences, Other",1.1299,1,Agriculture,Agriculture
"Agriculture, Agriculture Operations and Related Sciences, Other",1.9999,1,Agriculture,Agriculture
"Agriculture/Agricultural Sciences, General",2.0101,2,Agriculture - Science Focus,Agriculture
Agricultural Extension,2.0102,2,Agriculture - Science Focus,Agriculture
Agricultural Animal Breeding and Genetics,2.0202,2,Agriculture - Science Focus,Agriculture
Agricultural Animal Health,2.0203,2,Agriculture - Science Focus,Agriculture
Agricultural Animal Nutrition,2.0204,2,Agriculture - Science Focus,Agriculture
Agricultural Animal Physiology,2.0205,2,Agriculture - Science Focus,Agriculture
Livestock,2.0208,2,Agriculture - Science Focus,Agriculture
Food Sciences and Technology,2.0301,2,Agriculture - Science Focus,Agriculture
"Food Sciences, Other",2.0399,2,Agriculture - Science Focus,Agriculture
Horticulture Science,2.0403,2,Agriculture - Science Focus,Agriculture
Plant Breeding and Genetics,2.0405,2,Agriculture - Science Focus,Agriculture
Agricultural Plant Pathology,2.0406,2,Agriculture - Science Focus,Agriculture
Agricultural Plant Physiology,2.0407,2,Agriculture - Science Focus,Agriculture
Plant Protection (Pest Management),2.0408,2,Agriculture - Science Focus,Agriculture
Soil Sciences,2.0501,2,Agriculture - Science Focus,Agriculture
"Agriculture/Agricultural Sciences, Other",2.9999,2,Agriculture - Science Focus,Agriculture
"Natural Resources/Conservation, General",3.0101,3,Natural Resources and Environmental Sciences,Physical Sciences
Environmental Science/Studies,3.0102,3,Natural Resources and Environmental Sciences,Physical Sciences
Environmental Studies,3.0103,3,Natural Resources and Environmental Sciences,Physical Sciences
Environmental Science,3.0104,3,Natural Resources and Environmental Sciences,Physical Sciences
"Natural Resources Conservation and Research, Other",3.0199,3,Natural Resources and Environmental Sciences,Physical Sciences
Natural Resources Management and Policy,3.0201,3,Natural Resources and Environmental Sciences,Physical Sciences
Conservation,3.0202,3,Natural Resources and Environmental Sciences,Physical Sciences
Natural Resources Law Enforcement and Protective Services,3.0203,3,Natural Resources and Environmental Sciences,Physical Sciences
Natural Resource Economics,3.0204,3,Natural Resources and Environmental Sciences,Physical Sciences
"Water, Wetlands, and Marine Resources Management",3.0205,3,Natural Resources and Environmental Sciences,Physical Sciences
Land Use Planning and Management/Development,3.0206,3,Natural Resources and Environmental Sciences,Physical Sciences
Natural Resource Recreation and Tourism,3.0207,3,Natural Resources and Environmental Sciences,Physical Sciences
"Natural Resources Management and Policy, Other",3.0299,3,Natural Resources and Environmental Sciences,Physical Sciences
Fishing and Fisheries Sciences and Management,3.0301,3,Natural Resources and Environmental Sciences,Physical Sciences
Forest Harvesting and Production Technology/Technician,3.0401,3,Natural Resources and Environmental Sciences,Physical Sciences
Forest Production,3.0402,3,Natural Resources and Environmental Sciences,Physical Sciences
Forest Products Utilization,3.0403,3,Natural Resources and Environmental Sciences,Physical Sciences
Forest Products Technology/Technician,3.0404,3,Natural Resources and Environmental Sciences,Physical Sciences
Logging/Timber Harvesting,3.0405,3,Natural Resources and Environmental Sciences,Physical Sciences
"Forest Production and Processing, Other",3.0499,3,Natural Resources and Environmental Sciences,Physical Sciences
"Forestry, General",3.0501,3,Natural Resources and Environmental Sciences,Physical Sciences
Forest Sciences and Biology,3.0502,3,Natural Resources and Environmental Sciences,Physical Sciences
Forest Engineering,3.0504,3,Natural Resources and Environmental Sciences,Physical Sciences
Forest Management/Forest Resources Management,3.0506,3,Natural Resources and Environmental Sciences,Physical Sciences
Urban Forestry,3.0508,3,Natural Resources and Environmental Sciences,Physical Sciences
Wood Science and Wood Products/Pulp and Paper Technology,3.0509,3,Natural Resources and Environmental Sciences,Physical Sciences
Forest Resources Production and Management,3.051,3,Natural Resources and Environmental Sciences,Physical Sciences
Forest Technology/Technician,3.0511,3,Natural Resources and Environmental Sciences,Physical Sciences
"Forestry, Other",3.0599,3,Natural Resources and Environmental Sciences,Physical Sciences
"Wildlife, Fish and Wildlands Science and Management",3.0601,3,Natural Resources and Environmental Sciences,Physical Sciences
"Natural Resources and Conservation, Other",3.9999,3,Natural Resources and Environmental Sciences,Physical Sciences
"Architecture and Environmental Design, General",4.0101,4,Architecture,Architecture
Architecture,4.0201,4,Architecture,Architecture
"City/Urban, Community and Regional Planning",4.0301,4,Architecture,Architecture
Environmental Design/Architecture,4.0401,4,Architecture,Architecture
Interior Architecture,4.0501,4,Architecture,Architecture
Landscape Architecture,4.0601,4,Architecture,Architecture
Architectural Urban Design and Planning,4.0701,4,Architecture,Architecture
"Architectural History and Criticism, General",4.0801,4,Architecture,Architecture
Architectural Technology/Technician,4.0901,4,Architecture,Architecture
Architectural and Building Sciences/Technology,4.0902,4,Architecture,Architecture
"Architectural Sciences and Technology, Other",4.0999,4,Architecture,Architecture
Real Estate Development,4.1001,4,Architecture,Architecture
"Architecture and Related Services, Other",4.9999,4,Architecture,Architecture
African Studies,5.0101,5,International and Group Studies,General+Multi+International
American/United States Studies/Civilization,5.0102,5,International and Group Studies,General+Multi+International
Asian Studies/Civilization,5.0103,5,International and Group Studies,General+Multi+International
East Asian Studies,5.0104,5,International and Group Studies,General+Multi+International
"Russian, Central European, East European and Eurasian Studies",5.0105,5,International and Group Studies,General+Multi+International
European Studies/Civilization,5.0106,5,International and Group Studies,General+Multi+International
Latin American Studies,5.0107,5,International and Group Studies,General+Multi+International
Near and Middle Eastern Studies,5.0108,5,International and Group Studies,General+Multi+International
Pacific Area/Pacific Rim Studies,5.0109,5,International and Group Studies,General+Multi+International
Russian Studies,5.011,5,International and Group Studies,General+Multi+International
Scandinavian Studies,5.0111,5,International and Group Studies,General+Multi+International
South Asian Studies,5.0112,5,International and Group Studies,General+Multi+International
Southeast Asian Studies,5.0113,5,International and Group Studies,General+Multi+International
Western European Studies,5.0114,5,International and Group Studies,General+Multi+International
Canadian Studies,5.0115,5,International and Group Studies,General+Multi+International
Balkans Studies,5.0116,5,International and Group Studies,General+Multi+International
Slavic Studies,5.0118,5,International and Group Studies,General+Multi+International
Caribbean Studies,5.0119,5,International and Group Studies,General+Multi+International
Ural-Altaic and Central Asian Studies,5.012,5,International and Group Studies,General+Multi+International
Commonwealth Studies,5.0121,5,International and Group Studies,General+Multi+International
"Regional Studies (U.S., Canadian, Foreign)",5.0122,5,International and Group Studies,General+Multi+International
Chinese Studies,5.0123,5,International and Group Studies,General+Multi+International
French Studies,5.0124,5,International and Group Studies,General+Multi+International
German Studies,5.0125,5,International and Group Studies,General+Multi+International
Italian Studies,5.0126,5,International and Group Studies,General+Multi+International
Japanese Studies,5.0127,5,International and Group Studies,General+Multi+International
Korean Studies,5.0128,5,International and Group Studies,General+Multi+International
Spanish and Iberian Studies,5.013,5,International and Group Studies,General+Multi+International
Tibetan Studies,5.0131,5,International and Group Studies,General+Multi+International
Ukraine Studies,5.0132,5,International and Group Studies,General+Multi+International
Irish Studies,5.0133,5,International and Group Studies,General+Multi+International
Latin American and Caribbean Studies,5.0134,5,International and Group Studies,General+Multi+International
"Area Studies, Other",5.0199,5,International and Group Studies,General+Multi+International
Ethnic Studies,5.02,5,International and Group Studies,General+Multi+International
African-American/Black Studies,5.0201,5,International and Group Studies,General+Multi+International
American Indian/Native American Studies,5.0202,5,International and Group Studies,General+Multi+International
"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies",5.0203,5,International and Group Studies,General+Multi+International
Islamic Studies,5.0204,5,International and Group Studies,General+Multi+International
Jewish/Judaic Studies,5.0205,5,International and Group Studies,General+Multi+International
Asian-American Studies,5.0206,5,International and Group Studies,General+Multi+International
Women's Studies,5.0207,5,International and Group Studies,General+Multi+International
Gay/Lesbian Studies,5.0208,5,International and Group Studies,General+Multi+International
Folklore Studies,5.0209,5,International and Group Studies,General+Multi+International
Disability Studies,5.021,5,International and Group Studies,General+Multi+International
Deaf Studies,5.0211,5,International and Group Studies,General+Multi+International
"Ethnic, Cultural Minority, Gender, and Group Studies, Other",5.0299,5,International and Group Studies,General+Multi+International
"Area, Ethnic and Cultural Studies, Other",5.9999,5,International and Group Studies,General+Multi+International
"Business and Management, General",6.0101,6,Business Accounting,Business
Accounting,6.0201,6,Business Accounting,Business
Banking and Finance,6.0301,6,Business Accounting,Business
"Business Admintration and Management, General",6.0401,6,Business Accounting,Business
Contract Management and Procure/Purchasing,6.0402,6,Business Accounting,Business
Product Management,6.0403,6,Business Accounting,Business
"Business Admintration and Management, Other",6.0499,6,Business Accounting,Business
Business Economics,6.0501,6,Business Accounting,Business
Human Resources Development,6.0601,6,Business Accounting,Business
Hotel/Motel Management,6.0701,6,Business Accounting,Business
Recreational Enterprises Management,6.0702,6,Business Accounting,Business
Resort Management,6.0703,6,Business Accounting,Business
Restaurant Management,6.0704,6,Business Accounting,Business
Transportation Management,6.0705,6,Business Accounting,Business
"Institutional Management, Other",6.0799,6,Business Accounting,Business
Insurance and Risk Management,6.0801,6,Business Accounting,Business
International Business Management,6.0901,6,Business Accounting,Business
Investments and Securities,6.1001,6,Business Accounting,Business
Labor/Industrial Relations,6.1101,6,Business Accounting,Business
Management Information Systems,6.1201,6,Business Accounting,Business
Operations Research (Quant Methods),6.1302,6,Business Accounting,Business
"Management Science, General",6.1303,6,Business Accounting,Business
"Management Science, Other",6.1399,6,Business Accounting,Business
Marketing Management,6.1401,6,Business Accounting,Business
Marketing Research,6.1402,6,Business Accounting,Business
"Marketing Management and Research, Other",6.1499,6,Business Accounting,Business
Organizational Behavior,6.1501,6,Business Accounting,Business
Personnel Management,6.1601,6,Business Accounting,Business
Real Estate,6.1701,6,Business Accounting,Business
Real Estate Finance,6.1705,6,Business Accounting,Business
Small Business Management and Ownership,6.1801,6,Business Accounting,Business
Taxation,6.1901,6,Business Accounting,Business
Trade and Industrial Supervision and Management,6.2001,6,Business Accounting,Business
Computer Installation Manage,6.2101,6,Business Accounting,Business
"Business and Management, Other",6.9999,6,Business Accounting,Business
"Accounting, Bookkeeping and Related Programs",7.0101,7,Business Operations,Business
Accounting and Computing,7.0102,7,Business Operations,Business
Bookkeeping,7.0103,7,Business Operations,Business
"Machine Billing, Bookeeping, and Computing",7.0104,7,Business Operations,Business
"Accounting, Bookkeeping, and Related Programs, Other",7.0199,7,Business Operations,Business
"Banking and Related Financial Programs, General",7.0201,7,Business Operations,Business
Insurance Clerk,7.0203,7,Business Operations,Business
Teller,7.0205,7,Business Operations,Business
"Banking and Related Financial Programs, Other",7.0299,7,Business Operations,Business
"Business Data Process and Related Programs, General",7.0301,7,Business Operations,Business
Business Computer and Console Operation,7.0302,7,Business Operations,Business
Business Data Entry Equipment Operation,7.0303,7,Business Operations,Business
Business Data Peripheral Equipment Operation,7.0304,7,Business Operations,Business
Business Data Programming,7.0305,7,Business Operations,Business
Business Systems Analysis,7.0306,7,Business Operations,Business
"Business Data Process and Related Programs, Other",7.0399,7,Business Operations,Business
Office Supervision and Management,7.0401,7,Business Operations,Business
"Personnel and Training Programs, General",7.0501,7,Business Operations,Business
Training Assisting,7.0502,7,Business Operations,Business
Personnel Assisting,7.0503,7,Business Operations,Business
"Personnel and Training Prog, Other",7.0599,7,Business Operations,Business
"Secretarial and Related Programs, General",7.0601,7,Business Operations,Business
Court Reporting,7.0602,7,Business Operations,Business
Executive Secretarial,7.0603,7,Business Operations,Business
Legal Secretarial,7.0604,7,Business Operations,Business
Medical Secretarial,7.0605,7,Business Operations,Business
Secretarial,7.0606,7,Business Operations,Business
Stenographic,7.0607,7,Business Operations,Business
Word Processing,7.0608,7,Business Operations,Business
"Secretarial and Related Programs, Other",7.0699,7,Business Operations,Business
"Typing, General Office and Related Programs, General",7.0701,7,Business Operations,Business
Clerk-Typist,7.0702,7,Business Operations,Business
Correspondence Clerk,7.0703,7,Business Operations,Business
Duplicating Machine Operate,7.0704,7,Business Operations,Business
General Office Clerk,7.0705,7,Business Operations,Business
Receptionist,7.0707,7,Business Operations,Business
"Shipping, Receiving and Stock Clerk",7.0708,7,Business Operations,Business
Traffic Rate and Transportation Clerk,7.0709,7,Business Operations,Business
"Typing General Office and Related Programs, Other",7.0799,7,Business Operations,Business
"Business (Administrative Support), Other",7.9999,7,Business Operations,Business
"Apparel and Accessories Marketing Operations, General",8.0101,8,Marketing,Business
Fashion Merchandising,8.0102,8,Marketing,Business
Fashion Modeling,8.0103,8,Marketing,Business
Jewelry Marketing,8.0105,8,Marketing,Business
"Apparel and Accessories Marketing Operations, Other",8.0199,8,Marketing,Business
"Business and Personal Services Marketing, General",8.0201,8,Marketing,Business
Display,8.0202,8,Marketing,Business
Markeing of Business or Personal Services,8.0203,8,Marketing,Business
Business Services Marketing Operations,8.0204,8,Marketing,Business
Personal Services Marketing Operations,8.0205,8,Marketing,Business
"Business and Personal Services Marketing Operations, Other",8.0299,8,Marketing,Business
Entrepreneurship,8.0301,8,Marketing,Business
Financial Services Marketing Operations,8.0401,8,Marketing,Business
"Florist Farm Garden Supplies Marketing, General",8.0501,8,Marketing,Business
Floristry Marketing Operations,8.0503,8,Marketing,Business
"Floristry, Farm and Garden Supplies Marketing, Other",8.0599,8,Marketing,Business
"Food Products Retailing and Wholesaling Operation, General",8.0601,8,Marketing,Business
Supermarket Marketing,8.0604,8,Marketing,Business
"Food Marketing, Other",8.0699,8,Marketing,Business
Auctioneering,8.0701,8,Marketing,Business
Industrial Sales,8.0702,8,Marketing,Business
International Marketing,8.0703,8,Marketing,Business
General Buying Operations,8.0704,8,Marketing,Business
General Retailing Operations,8.0705,8,Marketing,Business
General Selling Skills and Sales Operations,8.0706,8,Marketing,Business
Wholesaling,8.0707,8,Marketing,Business
General Marketing Operations,8.0708,8,Marketing,Business
General Distribution Operations,8.0709,8,Marketing,Business
"General Retail and Wholesale Operations and Skills, Other",8.0799,8,Marketing,Business
"Home and Office Products Marketing Operations, General",8.0801,8,Marketing,Business
Appliance Marketing,8.0802,8,Marketing,Business
Building Materials Marketing,8.0803,8,Marketing,Business
Furniture Marketing,8.0805,8,Marketing,Business
Hardware Marketing,8.0806,8,Marketing,Business
Office Products and Equipment Marketing,8.0807,8,Marketing,Business
Specialty Home Furnishings Marketing,8.0808,8,Marketing,Business
Home Products Marketing Operations,8.0809,8,Marketing,Business
Office Products Marketing Operations,8.081,8,Marketing,Business
"Home and Office Products Marketing Operations, Other",8.0899,8,Marketing,Business
"Hospitality and Recreation Marketing Operations, General",8.0901,8,Marketing,Business
Hotel/Motel Services Marketing Operation,8.0902,8,Marketing,Business
Recreation Products/Services Marketing Operations,8.0903,8,Marketing,Business
Recreational Products Marketing,8.0904,8,Marketing,Business
Water/Waitress and Related Services,8.0905,8,Marketing,Business
Food Sales Operations,8.0906,8,Marketing,Business
"Hospitality and Recreation Marketing Operations, Other",8.0999,8,Marketing,Business
Insurance Marketing Operations,8.1001,8,Marketing,Business
"Transportation and Travel Marketing, General",8.1101,8,Marketing,Business
Transportation Marketing,8.1102,8,Marketing,Business
Tourism Promotion Operations,8.1104,8,Marketing,Business
Travel Services Marketing Operations,8.1105,8,Marketing,Business
Warehouse Services Marketing,8.1106,8,Marketing,Business
"Tourism and Travel Services Marketing Operations, Other",8.1199,8,Marketing,Business
"Vehicles and Petrolem Marketing, General",8.1201,8,Marketing,Business
Vehicle Parts and Accessories Marketing Operations,8.1203,8,Marketing,Business
Vehicle Marketing Operations,8.1208,8,Marketing,Business
"Vehicle and Petroleum Products Marketing Operations, Other",8.1299,8,Marketing,Business
Health Products and Services Marketing O,8.1301,8,Marketing,Business
"Marketing Operations/Marketing and Distribution, Other",8.9999,8,Marketing,Business
"Communication, General",9.01,9,Communications,Communications
Speech Communication and Rhetoric,9.0101,9,Communications,Communications
Mass Communication/Media Studies,9.0102,9,Communications,Communications
"Communication and Media Studies, Other",9.0199,9,Communications,Communications
Advertising,9.0201,9,Communications,Communications
Communications Research,9.0301,9,Communications,Communications
Journalism,9.0401,9,Communications,Communications
Broadcast Journalism,9.0402,9,Communications,Communications
Mass Communications,9.0403,9,Communications,Communications
Photojournalism,9.0404,9,Communications,Communications
"Journalism, Other",9.0499,9,Communications,Communications
Public Relations and Organizational Communications,9.0501,9,Communications,Communications
Radio/TV News Broadcasting,9.0601,9,Communications,Communications
Radio and Television,9.0701,9,Communications,Communications
Digital Communication and Media/Multimedia,9.0702,9,Communications,Communications
"Radio, Television, and Digital Communication, Other",9.0799,9,Communications,Communications
Telecommunictions,9.0801,9,Communications,Communications
"Public Relations, Advertising, and Applied Communication",9.09,9,Communications,Communications
"Organizational Communication, General",9.0901,9,Communications,Communications
Public Relations/Image Management,9.0902,9,Communications,Communications
Political Communication,9.0904,9,Communications,Communications
Health Communication,9.0905,9,Communications,Communications
Sports Communication,9.0906,9,Communications,Communications
International and Intercultural Communication,9.0907,9,Communications,Communications
Technical and Scientific Communication,9.0908,9,Communications,Communications
"Public Relations, Advertising, and Applied Communication, Other",9.0999,9,Communications,Communications
Publishing,9.1001,9,Communications,Communications
"Communication, Journalism, and Related Programs, Other",9.9999,9,Communications,Communications
Educational/Instructional Media Tech.,10.0101,10,Communications Tech,Communications
Motion Picture Technology,10.0102,10,Communications Tech,Communications
Photographic Technology/Technician,10.0103,10,Communications Tech,Communications
Radio and Television Broadcasting Technology,10.0104,10,Communications Tech,Communications
Communications Technology/Technician,10.0105,10,Communications Tech,Communications
Video Technology,10.0106,10,Communications Tech,Communications
"Communications Technol./Technicians, Other",10.0199,10,Communications Tech,Communications
Photographic and Film/Video Technology/Technician and Assistant,10.0201,10,Communications Tech,Communications
Radio and Television Broadcasting Technology/Technician,10.0202,10,Communications Tech,Communications
Recording Arts Technology/Technician,10.0203,10,Communications Tech,Communications
"Audiovisual Communications Technologies/Technicians, Other",10.0299,10,Communications Tech,Communications
"Graphic Communications, General",10.0301,10,Communications Tech,Communications
Printing Management,10.0302,10,Communications Tech,Communications
Prepress/Desktop Publishing and Digital Imaging Design,10.0303,10,Communications Tech,Communications
"Animation, Interactive Technology, Video Graphics and Special Effects",10.0304,10,Communications Tech,Communications
"Graphic and Printing Equipment Operator, General Production",10.0305,10,Communications Tech,Communications
Platemaker/Imager,10.0306,10,Communications Tech,Communications
Printing Press Operator,10.0307,10,Communications Tech,Communications
Computer Typography and Composition Equipment Operator,10.0308,10,Communications Tech,Communications
"Graphic Communications, Other",10.0399,10,Communications Tech,Communications
"Communications Technologies/Technicians and Support Services, Other",10.9999,10,Communications Tech,Communications
"Computer and Information Sciences, General",11.0101,11,Computer Science,Computer Science
Artificial Intelligence,11.0102,11,Computer Science,Computer Science
Information Technology,11.0103,11,Computer Science,Computer Science
Informatics,11.0104,11,Computer Science,Computer Science
"Computer and Information Sciences, Other",11.0199,11,Computer Science,Computer Science
"Computer Programming/Programmer, General",11.0201,11,Computer Science,Computer Science
"Computer Programming, Specific Applications",11.0202,11,Computer Science,Computer Science
"Computer Programming, Vendor/Product Certification",11.0203,11,Computer Science,Computer Science
"Computer Programming, Other",11.0299,11,Computer Science,Computer Science
Data Processing and Data Processing Technology/Technician,11.0301,11,Computer Science,Computer Science
Information Science/Studies,11.0401,11,Computer Science,Computer Science
Computer Systems Analysis/Analyst,11.0501,11,Computer Science,Computer Science
"Data Entry/Microcomputer Applications, General",11.0601,11,Computer Science,Computer Science
"Data Entry/Microcomputer Applications, Other",11.0699,11,Computer Science,Computer Science
Computer Science,11.0701,11,Computer Science,Computer Science
"Web Page, Digital/Multimedia and Information Resources Design",11.0801,11,Computer Science,Computer Science
Data Modeling/Warehousing and Database Administration,11.0802,11,Computer Science,Computer Science
Computer Graphics,11.0803,11,Computer Science,Computer Science
"Modeling, Virtual Environments and Simulation",11.0804,11,Computer Science,Computer Science
"Computer Software and Media Applications, Other",11.0899,11,Computer Science,Computer Science
Computer Systems Networking and Telecommunications,11.0901,11,Computer Science,Computer Science
Network and System Administration/Administrator,11.1001,11,Computer Science,Computer Science
"System, Networking, and LAN/WAN Management/Manager",11.1002,11,Computer Science,Computer Science
Computer and Information Systems Security/Information Assurance,11.1003,11,Computer Science,Computer Science
Web/Multimedia Management and Webmaster,11.1004,11,Computer Science,Computer Science
Information Technology Project Management,11.1005,11,Computer Science,Computer Science
Computer Support Specialist,11.1006,11,Computer Science,Computer Science
"Computer/Information Technology Services Administration and Management, Other",11.1099,11,Computer Science,Computer Science
"Computer and Information Sciences and Support Services, Other",11.9999,11,Computer Science,Computer Science
Drycleaning and Laundering Services,12.0101,12,Misc. Certifications,Misc. Certifications
Bartending,12.0202,12,Misc. Certifications,Misc. Certifications
Card Dealer,12.0203,12,Misc. Certifications,Misc. Certifications
"Gaming & Sports Officiating Services, Ot",12.0299,12,Misc. Certifications,Misc. Certifications
"Funeral Service and Mortuary Science, General",12.0301,12,Misc. Certifications,Misc. Certifications
Funeral Direction/Service,12.0302,12,Misc. Certifications,Misc. Certifications
Mortuary Science and Embalming/Embalmer,12.0303,12,Misc. Certifications,Misc. Certifications
"Funeral Service and Mortuary Science, Other",12.0399,12,Misc. Certifications,Misc. Certifications
"Cosmetology/Cosmetologist, General",12.0401,12,Misc. Certifications,Misc. Certifications
Barbering/Barber,12.0402,12,Misc. Certifications,Misc. Certifications
Cosmetologist,12.0403,12,Misc. Certifications,Misc. Certifications
Electrolysis/Electrology and Electrolysis Technician,12.0404,12,Misc. Certifications,Misc. Certifications
Massage,12.0405,12,Misc. Certifications,Misc. Certifications
Make-Up Artist/Specialist,12.0406,12,Misc. Certifications,Misc. Certifications
Hair Styling/Stylist and Hair Design,12.0407,12,Misc. Certifications,Misc. Certifications
Facial Treatment Specialist/Facialist,12.0408,12,Misc. Certifications,Misc. Certifications
Aesthetician/Esthetician and Skin Care Specialist,12.0409,12,Misc. Certifications,Misc. Certifications
Nail Technician/Specialist and Manicurist,12.041,12,Misc. Certifications,Misc. Certifications
Permanent Cosmetics/Makeup and Tattooing,12.0411,12,Misc. Certifications,Misc. Certifications
Salon/Beauty Salon Management/Manager,12.0412,12,Misc. Certifications,Misc. Certifications
"Cosmetology, Barber/Styling, and Nail Instructor",12.0413,12,Misc. Certifications,Misc. Certifications
Master Aesthetician/Esthetician,12.0414,12,Misc. Certifications,Misc. Certifications
"Cosmetology and Related Personal Grooming Arts, Other",12.0499,12,Misc. Certifications,Misc. Certifications
"Cooking and Related Culinary Arts, General",12.05,12,Misc. Certifications,Misc. Certifications
Baking and Pastry Arts/Baker/Pastry Chef,12.0501,12,Misc. Certifications,Misc. Certifications
Bartending/Bartender,12.0502,12,Misc. Certifications,Misc. Certifications
Culinary Arts/Chef Training,12.0503,12,Misc. Certifications,Misc. Certifications
"Restaurant, Culinary, and Catering Management/Manager",12.0504,12,Misc. Certifications,Misc. Certifications
Food Preparation/Professional Cooking/Kitchen Assistant,12.0505,12,Misc. Certifications,Misc. Certifications
Meat Cutting/Meat Cutter,12.0506,12,Misc. Certifications,Misc. Certifications
"Food Service, Waiter/Waitress, and Dining Room Management/Manager",12.0507,12,Misc. Certifications,Misc. Certifications
Institutional Food Workers,12.0508,12,Misc. Certifications,Misc. Certifications
Culinary Science/Culinology,12.0509,12,Misc. Certifications,Misc. Certifications
Wine Steward/Sommelier,12.051,12,Misc. Certifications,Misc. Certifications
"Institutional Food Workers and Administrators, General",12.0588,12,Misc. Certifications,Misc. Certifications
"Culinary Arts and Related Services, Other",12.0599,12,Misc. Certifications,Misc. Certifications
"Personal and Culinary Services, Other",12.9999,12,Misc. Certifications,Misc. Certifications
