codevalue,valuelabel
4.1001,Real Estate Development
4.9999,"Architecture and Related Services, Other"
5.0101,African Studies
5.0102,American/United States Studies/Civilization
5.0103,Asian Studies/Civilization
5.0104,East Asian Studies
5.0105,"Russian, Central European, East European and Eurasian Studies"
5.0106,European Studies/Civilization
5.0107,Latin American Studies
5.0108,Near and Middle Eastern Studies
5.0109,Pacific Area/Pacific Rim Studies
5.011,Russian Studies
5.0111,Scandinavian Studies
5.0112,South Asian Studies
5.0113,Southeast Asian Studies
5.0114,Western European Studies
5.0115,Canadian Studies
5.0118,Slavic Studies
5.0119,Caribbean Studies
5.012,Ural-Altaic and Central Asian Studies
5.0121,Commonwealth Studies
5.0122,"Regional Studies (U.S., Canadian, Foreign)"
5.0123,Chinese Studies
5.0124,French Studies
5.0125,German Studies
5.0126,Italian Studies
5.0127,Japanese Studies
5.0128,Korean Studies
5.013,Spanish and Iberian Studies
5.0133,Irish Studies
5.0134,Latin American and Caribbean Studies
5.0199,"Area Studies, Other"
5.02,Ethnic Studies
5.0201,African-American/Black Studies
5.0202,American Indian/Native American Studies
5.0203,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies"
5.0206,Asian-American Studies
5.0207,Women's Studies
5.0208,Gay/Lesbian Studies
5.0209,Folklore Studies
5.021,Disability Studies
5.0211,Deaf Studies
5.0299,"Ethnic, Cultural Minority, Gender, and Group Studies, Other"
9.01,"Communication, General"
9.0101,Speech Communication and Rhetoric
9.0102,Mass Communication/Media Studies
9.0199,"Communication and Media Studies, Other"
9.0401,Journalism
9.0402,Broadcast Journalism
9.0404,Photojournalism
9.0499,"Journalism, Other"
9.0701,Radio and Television
9.0702,Digital Communication and Media/Multimedia
9.0799,"Radio, Television, and Digital Communication, Other"
9.09,"Public Relations, Advertising, and Applied Communication"
9.0901,"Organizational Communication, General"
9.0902,Public Relations/Image Management
9.0903,Advertising
9.0904,Political Communication
9.0905,Health Communication
9.0906,Sports Communication
9.0907,International and Intercultural Communication
9.0908,Technical and Scientific Communication
9.0999,"Public Relations, Advertising, and Applied Communication, Other"
9.1001,Publishing
9.9999,"Communication, Journalism, and Related Programs, Other"
10.0105,Communications Technology/Technician
10.0201,Photographic and Film/Video Technology/Technician and Assistant
10.0202,Radio and Television Broadcasting Technology/Technician
10.0203,Recording Arts Technology/Technician
10.0299,"Audiovisual Communications Technologies/Technicians, Other"
10.0301,"Graphic Communications, General"
10.0302,Printing Management
10.0303,Prepress/Desktop Publishing and Digital Imaging Design
10.0304,"Animation, Interactive Technology, Video Graphics and Special Effects"
10.0305,"Graphic and Printing Equipment Operator, General Production"
10.0306,Platemaker/Imager
10.0307,Printing Press Operator
10.0308,Computer Typography and Composition Equipment Operator
10.0399,"Graphic Communications, Other"
10.9999,"Communications Technologies/Technicians and Support Services, Other"
11.0101,"Computer and Information Sciences, General"
11.0102,Artificial Intelligence
11.0103,Information Technology
11.0104,Informatics
11.0199,"Computer and Information Sciences, Other"
11.0201,"Computer Programming/Programmer, General"
11.0202,"Computer Programming, Specific Applications"
11.0203,"Computer Programming, Vendor/Product Certification"
11.0299,"Computer Programming, Other"
11.0301,Data Processing and Data Processing Technology/Technician
11.0401,Information Science/Studies
11.0501,Computer Systems Analysis/Analyst
11.0601,"Data Entry/Microcomputer Applications, General"
11.0602,Word Processing
11.0699,"Data Entry/Microcomputer Applications, Other"
11.0701,Computer Science
11.0801,"Web Page, Digital/Multimedia and Information Resources Design"
11.0802,Data Modeling/Warehousing and Database Administration
11.0803,Computer Graphics
11.0804,"Modeling, Virtual Environments and Simulation"
11.0899,"Computer Software and Media Applications, Other"
11.0901,Computer Systems Networking and Telecommunications
11.1001,Network and System Administration/Administrator
11.1002,"System, Networking, and LAN/WAN Management/Manager"
11.1003,Computer and Information Systems Security/Information Assurance
11.1004,Web/Multimedia Management and Webmaster
11.1005,Information Technology Project Management
11.1006,Computer Support Specialist
11.1099,"Computer/Information Technology Services Administration and Management, Other"
11.9999,"Computer and Information Sciences and Support Services, Other"
12.0301,"Funeral Service and Mortuary Science, General"
12.0302,Funeral Direction/Service
12.0303,Mortuary Science and Embalming/Embalmer
12.0399,"Funeral Service and Mortuary Science, Other"
12.0401,"Cosmetology/Cosmetologist, General"
12.0402,Barbering/Barber
12.0404,Electrolysis/Electrology and Electrolysis Technician
12.0406,Make-Up Artist/Specialist
12.0407,Hair Styling/Stylist and Hair Design
12.0408,Facial Treatment Specialist/Facialist
12.0409,Aesthetician/Esthetician and Skin Care Specialist
12.041,Nail Technician/Specialist and Manicurist
12.0411,Permanent Cosmetics/Makeup and Tattooing
12.0412,Salon/Beauty Salon Management/Manager
12.0413,"Cosmetology, Barber/Styling, and Nail Instructor"
12.0414,Master Aesthetician/Esthetician
12.0499,"Cosmetology and Related Personal Grooming Arts, Other"
12.05,"Cooking and Related Culinary Arts, General"
12.0501,Baking and Pastry Arts/Baker/Pastry Chef
12.0502,Bartending/Bartender
12.0503,Culinary Arts/Chef Training
12.0504,"Restaurant, Culinary, and Catering Management/Manager"
12.0505,Food Preparation/Professional Cooking/Kitchen Assistant
12.0506,Meat Cutting/Meat Cutter
12.0507,"Food Service, Waiter/Waitress, and Dining Room Management/Manager"
12.0508,Institutional Food Workers
12.0509,Culinary Science/Culinology
12.051,Wine Steward/Sommelier
12.0599,"Culinary Arts and Related Services, Other"
12.9999,"Personal and Culinary Services, Other"
13.0101,"Education, General"
13.0201,Bilingual and Multilingual Education
13.0202,Multicultural Education
13.0203,Indian/Native American Education
13.0299,"Bilingual, Multilingual, and Multicultural Education, Other"
13.0301,Curriculum and Instruction
13.0401,"Educational Leadership and Administration, General"
13.0402,Administration of Special Education
13.0403,Adult and Continuing Education Administration
13.0404,"Educational, Instructional, and Curriculum Supervision"
13.0406,Higher Education/Higher Education Administration
13.0407,Community College Education
13.0408,Elementary and Middle School Administration/Principalship
13.0409,Secondary School Administration/Principalship
13.041,Urban Education and Leadership
13.0411,Superintendency and Educational System Administration
13.0499,"Educational Administration and Supervision, Other"
13.0501,Educational/Instructional Technology
13.0601,Educational Evaluation and Research
13.0603,Educational Statistics and Research Methods
13.0604,"Educational Assessment, Testing, and Measurement"
13.0607,Learning Sciences
13.0699,"Educational Assessment, Evaluation, and Research, Other"
13.0701,International and Comparative Education
13.0901,Social and Philosophical Foundations of Education
13.1001,"Special Education and Teaching, General"
13.1003,Education/Teaching of Individuals with Hearing Impairments Including Deafness
13.1004,Education/Teaching of the Gifted and Talented
13.1005,Education/Teaching of Individuals with Emotional Disturbances
13.1006,Education/Teaching of Individuals with Mental Retardation
13.1007,Education/Teaching of Individuals with Multiple Disabilities
13.1008,Education/Teaching of Individuals with Orthopedic and Other Physical Health Impa
13.1009,Education/Teaching of Individuals with Vision Impairments Including Blindness
13.1011,Education/Teaching of Individuals with Specific Learning Disabilities
13.1012,Education/Teaching of Individuals with Speech or Language Impairments
13.1013,Education/Teaching of Individuals with Autism
13.1014,Education/Teaching of Individuals Who are Developmentally Delayed
13.1015,Education/Teaching of Individuals in Early Childhood Special Education Programs
13.1016,Education/Teaching of Individuals with Traumatic Brain Injuries
13.1017,Education/Teaching of Individuals in Elementary Special Education Programs
13.1018,Education/Teaching of Individuals in Junior High/Middle School Special Education
13.1019,Education/Teaching of Individuals in Secondary Special Education Programs
13.1099,"Special Education and Teaching, Other"
13.1101,Counselor Education/School Counseling and Guidance Services
13.1102,College Student Counseling and Personnel Services
13.1199,"Student Counseling and Personnel Services, Other"
13.1201,Adult and Continuing Education and Teaching
13.1202,Elementary Education and Teaching
13.1203,Junior High/Intermediate/Middle School Education and Teaching
13.1205,Secondary Education and Teaching
13.1206,"Teacher Education, Multiple Levels"
13.1207,Montessori Teacher Education
13.1209,Kindergarten/Preschool Education and Teaching
13.121,Early Childhood Education and Teaching
13.1299,"Teacher Education and Professional Development, Specific Levels and Methods, Oth"
13.1301,Agricultural Teacher Education
13.1302,Art Teacher Education
13.1303,Business Teacher Education
13.1304,Driver and Safety Teacher Education
13.1305,English/Language Arts Teacher Education
13.1306,Foreign Language Teacher Education
13.1307,Health Teacher Education
13.1308,Family and Consumer Sciences/Home Economics Teacher Education
13.1309,Technology Teacher Education/Industrial Arts Teacher Education
13.131,Sales and Marketing Operations/Marketing and Distribution Teacher Education
13.1311,Mathematics Teacher Education
13.1312,Music Teacher Education
13.1314,Physical Education Teaching and Coaching
13.1315,Reading Teacher Education
13.1316,Science Teacher Education/General Science Teacher Education
13.1317,Social Science Teacher Education
13.1318,Social Studies Teacher Education
13.1319,Technical Teacher Education
13.132,Trade and Industrial Teacher Education
13.1321,Computer Teacher Education
13.1322,Biology Teacher Education
13.1323,Chemistry Teacher Education
13.1324,Drama and Dance Teacher Education
13.1325,French Language Teacher Education
13.1326,German Language Teacher Education
13.1327,Health Occupations Teacher Education
13.1328,History Teacher Education
13.1329,Physics Teacher Education
13.133,Spanish Language Teacher Education
13.1331,Speech Teacher Education
13.1332,Geography Teacher Education
13.1333,Latin Teacher Education
13.1334,School Librarian/School Library Media Specialist
13.1335,Psychology Teacher Education
13.1337,Earth Science Teacher Education
13.1338,Environmental Education
13.1399,"Teacher Education and Professional Development, Specific Subject Areas, Other"
13.1401,Teaching English as a Second or Foreign Language/ESL Language Instructor
13.1402,Teaching French as a Second or Foreign Language
13.1499,"Teaching English or French as a Second or Foreign Language, Other"
13.1501,Teacher Assistant/Aide
13.1502,Adult Literacy Tutor/Instructor
13.1599,"Teaching Assistants/Aides, Other"
13.9999,"Education, Other"
14.0101,"Engineering, General"
14.0102,Pre-Engineering
14.0201,"Aerospace, Aeronautical and Astronautical/Space Engineering"
14.0301,Agricultural Engineering
14.0401,Architectural Engineering
14.0501,Bioengineering and Biomedical Engineering
14.0601,Ceramic Sciences and Engineering
14.0701,Chemical Engineering
14.0702,Chemical and Biomolecular Engineering
14.0799,"Chemical Engineering, Other"
14.0801,"Civil Engineering, General"
14.0802,Geotechnical and Geoenvironmental Engineering
14.0803,Structural Engineering
14.0804,Transportation and Highway Engineering
14.0805,Water Resources Engineering
14.0899,"Civil Engineering, Other"
14.0901,"Computer Engineering, General"
14.0902,Computer Hardware Engineering
14.0903,Computer Software Engineering
14.0999,"Computer Engineering, Other"
14.1001,Electrical and Electronics Engineering
14.1003,Laser and Optical Engineering
14.1004,Telecommunications Engineering
14.1099,"Electrical, Electronics and Communications Engineering, Other"
14.1101,Engineering Mechanics
14.1201,Engineering Physics/Applied Physics
14.1301,Engineering Science
14.1401,Environmental/Environmental Health Engineering
14.1801,Materials Engineering
14.1901,Mechanical Engineering
14.2001,Metallurgical Engineering
14.2101,Mining and Mineral Engineering
14.2201,Naval Architecture and Marine Engineering
14.2301,Nuclear Engineering
14.2401,Ocean Engineering
14.2501,Petroleum Engineering
14.2701,Systems Engineering
14.2801,Textile Sciences and Engineering
14.3201,Polymer/Plastics Engineering
14.3301,Construction Engineering
14.3401,Forest Engineering
14.3501,Industrial Engineering
14.3601,Manufacturing Engineering
14.3701,Operations Research
14.3801,Surveying Engineering
14.3901,Geological/Geophysical Engineering
14.4001,Paper Science and Engineering
14.4101,Electromechanical Engineering
14.4201,"Mechatronics, Robotics, and Automation Engineering"
14.4301,Biochemical Engineering
14.4401,Engineering Chemistry
14.4501,Biological/Biosystems Engineering
14.9999,"Engineering, Other"
15,"Engineering Technology, General"
15.0101,Architectural Engineering Technology/Technician
15.0201,Civil Engineering Technology/Technician
15.0303,"Electrical, Electronic and Communications Engineering Technology/Technician"
15.0304,Laser and Optical Technology/Technician
15.0305,Telecommunications Technology/Technician
15.0306,Integrated Circuit Design
15.0399,"Electrical and Electronic Engineering Technologies/Technicians, Other"
15.0401,Biomedical Technology/Technician
15.0403,Electromechanical Technology/Electromechanical Engineering Technology
15.0404,Instrumentation Technology/Technician
15.0405,Robotics Technology/Technician
15.0406,Automation Engineer Technology/Technician
15.0499,"Electromechanical and Instrumentation and Maintenance Technologies/Technicians,"
15.0501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/"
15.0503,Energy Management and Systems Technology/Technician
15.0505,Solar Energy Technology/Technician
15.0506,Water Quality and Wastewater Treatment Management and Recycling Technology/Techn
15.0507,Environmental Engineering Technology/Environmental Technology
15.0508,Hazardous Materials Management and Waste Technology/Technician
15.0599,"Environmental Control Technologies/Technicians, Other"
15.0607,Plastics and Polymer Engineering Technology/Technician
15.0611,Metallurgical Technology/Technician
15.0612,Industrial Technology/Technician
15.0613,Manufacturing Engineering Technology/Technician
15.0614,Welding Engineering Technology/Technician
15.0615,Chemical Engineering Technology/Technician
15.0616,Semiconductor Manufacturing Technology
15.0699,"Industrial Production Technologies/Technicians, Other"
15.0701,Occupational Safety and Health Technology/Technician
15.0702,Quality Control Technology/Technician
15.0703,Industrial Safety Technology/Technician
15.0704,Hazardous Materials Information Systems Technology/Technician
15.0799,"Quality Control and Safety Technologies/Technicians, Other"
15.0801,Aeronautical/Aerospace Engineering Technology/Technician
15.0803,Automotive Engineering Technology/Technician
15.0805,Mechanical Engineering/Mechanical Technology/Technician
15.0899,"Mechanical Engineering Related Technologies/Technicians, Other"
15.0901,Mining Technology/Technician
15.0903,Petroleum Technology/Technician
15.0999,"Mining and Petroleum Technologies/Technicians, Other"
15.1001,Construction Engineering Technology/Technician
15.1102,Surveying Technology/Surveying
15.1103,Hydraulics and Fluid Power Technology/Technician
15.1199,"Engineering-Related Technologies, Other"
15.1201,Computer Engineering Technology/Technician
15.1202,Computer Technology/Computer Systems Technology
15.1203,Computer Hardware Technology/Technician
15.1204,Computer Software Technology/Technician
15.1299,"Computer Engineering Technologies/Technicians, Other"
15.1301,"Drafting and Design Technology/Technician, General"
15.1302,CAD/CADD Drafting and/or Design Technology/Technician
15.1303,Architectural Drafting and Architectural CAD/CADD
15.1304,Civil Drafting and Civil Engineering CAD/CADD
15.1305,Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD
15.1306,Mechanical Drafting and Mechanical Drafting CAD/CADD
15.1399,"Drafting/Design Engineering Technologies/Technicians, Other"
15.1401,Nuclear Engineering Technology/Technician
15.1501,Engineering/Industrial Management
15.1502,Engineering Design
15.1503,Packaging Science
15.1599,"Engineering-Related Fields, Other"
15.1601,Nanotechnology
15.9999,"Engineering Technologies and Engineering-Related Fields, Other"
16.0101,"Foreign Languages and Literatures, General"
16.0102,Linguistics
16.0103,Language Interpretation and Translation
16.0104,Comparative Literature
16.0105,Applied Linguistics
16.0199,"Linguistic, Comparative, and Related Language Studies and Services, Other"
16.0201,"African Languages, Literatures, and Linguistics"
16.03,"East Asian Languages, Literatures, and Linguistics, General"
16.0301,Chinese Language and Literature
16.0302,Japanese Language and Literature
16.0303,Korean Language and Literature
16.0399,"East Asian Languages, Literatures, and Linguistics, Other"
16.04,"Slavic Languages, Literatures, and Linguistics, General"
16.0402,Russian Language and Literature
16.0407,Polish Language and Literature
16.0408,"Bosnian, Serbian, and Croatian Languages and Literatures"
16.05,"Germanic Languages, Literatures, and Linguistics, General"
16.0501,German Language and Literature
16.0502,"Scandinavian Languages, Literatures, and Linguistics"
16.0503,Danish Language and Literature
16.0504,Dutch/Flemish Language and Literature
16.0505,Norwegian Language and Literature
16.0506,Swedish Language and Literature
16.0599,"Germanic Languages, Literatures, and Linguistics, Other"
16.0601,Modern Greek Language and Literature
16.07,"South Asian Languages, Literatures, and Linguistics, General"
16.0701,Hindi Language and Literature
16.0702,"Sanskrit and Classical Indian Languages, Literatures, and Linguistics"
16.0801,"Iranian Languages, Literatures, and Linguistics"
16.09,"Romance Languages, Literatures, and Linguistics, General"
16.0901,French Language and Literature
16.0902,Italian Language and Literature
16.0904,Portuguese Language and Literature
16.0905,Spanish Language and Literature
16.0908,"Hispanic and Latin American Languages, Literatures, and Linguistics, General"
16.0999,"Romance Languages, Literatures, and Linguistics, Other"
16.1001,"American Indian/Native American Languages, Literatures, and Linguistics"
16.11,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, General"
16.1101,Arabic Language and Literature
16.1102,Hebrew Language and Literature
16.1103,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics"
16.1199,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other"
16.12,"Classics and Classical Languages, Literatures, and Linguistics, General"
16.1202,Ancient/Classical Greek Language and Literature
16.1203,Latin Language and Literature
16.1299,"Classics and Classical Languages, Literatures, and Linguistics, Other"
16.1301,"Celtic Languages, Literatures, and Linguistics"
16.1401,"Australian/Oceanic/Pacific Languages, Literatures, and Linguistics"
16.1402,Indonesian/Malay Languages and Literatures
16.1404,Filipino/Tagalog Language and Literature
16.1408,Vietnamese Language and Literature
16.1499,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics"
16.1501,Turkish Language and Literature
16.1502,"Uralic Languages, Literatures, and Linguistics"
16.1601,American Sign Language (ASL)
16.1602,Linguistics of ASL and Other Sign Languages
16.1603,Sign Language Interpretation and Translation
16.1699,"American Sign Language, Other"
16.9999,"Foreign Languages, Literatures, and Linguistics, Other"
19,Work and Family Studies
19.0101,"Family and Consumer Sciences/Human Sciences, General"
19.0201,Business Family and Consumer Sciences/Human Sciences
19.0202,Family and Consumer Sciences/Human Sciences Communication
19.0203,Consumer Merchandising/Retailing Management
19.0299,"Family and Consumer Sciences/Human Sciences Business Services, Other"
19.0401,"Family Resource Management Studies, General"
19.0402,Consumer Economics
19.0403,Consumer Services and Advocacy
19.0499,"Family and Consumer Economics and Related Services, Other"
19.0501,"Foods, Nutrition, and Wellness Studies, General"
19.0504,Human Nutrition
19.0505,Foodservice Systems Administration/Management
19.0599,"Foods, Nutrition, and Related Services, Other"
19.0601,"Housing and Human Environments, General"
19.0604,Facilities Planning and Management
19.0699,"Housing and Human Environments, Other"
19.0701,"Human Development and Family Studies, General"
19.0702,Adult Development and Aging
19.0704,Family Systems
19.0706,Child Development
19.0707,Family and Community Services
19.0708,Child Care and Support Services Management
19.0709,Child Care Provider/Assistant
19.071,Developmental Services Worker
19.0799,"Human Development, Family Studies, and Related Services, Other"
19.0901,"Apparel and Textiles, General"
19.0902,Apparel and Textile Manufacture
19.0904,Textile Science
19.0905,Apparel and Textile Marketing Management
19.0906,Fashion and Fabric Consultant
19.0999,"Apparel and Textiles, Other"
19.9999,"Family and Consumer Sciences/Human Sciences, Other"
22,"Legal Studies, General"
22.0001,Pre-Law Studies
22.0101,Law
22.0201,"Advanced Legal Research/Studies, General"
22.0202,Programs for Foreign Lawyers
22.0203,American/U.S. Law/Legal Studies/Jurisprudence
22.0205,"Banking, Corporate, Finance, and Securities Law"
22.0206,Comparative Law
22.0207,"Energy, Environment, and Natural Resources Law"
22.0208,Health Law
22.0209,International Law and Legal Studies
22.021,"International Business, Trade, and Tax Law"
22.0211,Tax Law/Taxation
22.0212,Intellectual Property Law
22.0299,"Legal Research and Advanced Professional Studies, Other"
22.0301,Legal Administrative Assistant/Secretary
22.0302,Legal Assistant/Paralegal
22.0303,Court Reporting/Court Reporter
22.0399,"Legal Support Services, Other"
22.9999,"Legal Professions and Studies, Other"
23.0101,"English Language and Literature, General"
23.1301,"Writing, General"
23.1302,Creative Writing
23.1303,"Professional, Technical, Business, and Scientific Writing"
23.1304,Rhetoric and Composition
23.1399,"Rhetoric and Composition/Writing Studies, Other"
23.1401,General Literature
23.1402,American Literature (United States
23.1404,English Literature (British and Commonwealth
23.1405,Children's and Adolescent Literature
23.1499,"Literature, Other"
23.9999,"English Language and Literature/Letters, Other"
24.0101,Liberal Arts and Sciences/Liberal Studies
24.0102,General Studies
24.0103,Humanities/Humanistic Studies
24.0199,"Liberal Arts and Sciences, General Studies and Humanities, Other"
25.0101,Library and Information Science
25.0102,Children and Youth Library Services
25.0103,Archives/Archival Administration
25.0199,"Library Science and Administration, Other"
25.0301,Library and Archives Assisting
25.9999,"Library Science, Other"
26.0101,"Biology/Biological Sciences, General"
26.0102,"Biomedical Sciences, General"
26.0202,Biochemistry
26.0203,Biophysics
26.0204,Molecular Biology
26.0205,Molecular Biochemistry
26.0206,Molecular Biophysics
26.0207,Structural Biology
26.0209,Radiation Biology/Radiobiology
26.021,Biochemistry and Molecular Biology
26.0299,"Biochemistry, Biophysics and Molecular Biology, Other"
26.0301,Botany/Plant Biology
26.0305,Plant Pathology/Phytopathology
26.0307,Plant Physiology
26.0308,Plant Molecular Biology
26.0399,"Botany/Plant Biology, Other"
26.0401,Cell/Cellular Biology and Histology
26.0403,Anatomy
26.0404,Developmental Biology and Embryology
26.0406,Cell/Cellular and Molecular Biology
26.0407,Cell Biology and Anatomy
26.0499,"Cell/Cellular Biology and Anatomical Sciences, Other"
26.0502,"Microbiology, General"
26.0503,Medical Microbiology and Bacteriology
26.0504,Virology
26.0505,Parasitology
26.0507,Immunology
26.0508,Microbiology and Immunology
26.0599,"Microbiological Sciences and Immunology, Other"
26.0701,Zoology/Animal Biology
26.0702,Entomology
26.0707,Animal Physiology
26.0708,Animal Behavior and Ethology
26.0709,Wildlife Biology
26.0799,"Zoology/Animal Biology, Other"
26.0801,"Genetics, General"
26.0802,Molecular Genetics
26.0804,Animal Genetics
26.0805,Plant Genetics
26.0806,Human/Medical Genetics
26.0807,Genome Sciences/Genomics
26.0899,"Genetics, Other"
26.0901,"Physiology, General"
26.0902,Molecular Physiology
26.0903,Cell Physiology
26.0904,Endocrinology
26.0905,Reproductive Biology
26.0907,Cardiovascular Science
26.0908,Exercise Physiology
26.0909,Vision Science/Physiological Optics
26.091,Pathology/Experimental Pathology
26.0911,Oncology and Cancer Biology
26.0912,Aerospace Physiology and Medicine
26.0999,"Physiology, Pathology, and Related Sciences, Other"
26.1001,Pharmacology
26.1002,Molecular Pharmacology
26.1003,Neuropharmacology
26.1004,Toxicology
26.1005,Molecular Toxicology
26.1006,Environmental Toxicology
26.1007,Pharmacology and Toxicology
26.1099,"Pharmacology and Toxicology, Other"
26.1101,Biometry/Biometrics
26.1102,Biostatistics
26.1103,Bioinformatics
26.1104,Computational Biology
26.1199,"Biomathematics, Bioinformatics, and Computational Biology, Other"
26.1201,Biotechnology
26.1301,Ecology
26.1302,Marine Biology and Biological Oceanography
26.1303,Evolutionary Biology
26.1304,Aquatic Biology/Limnology
26.1305,Environmental Biology
26.1306,Population Biology
26.1307,Conservation Biology
26.1308,Systematic Biology/Biological Systematics
26.1309,Epidemiology
26.131,Ecology and Evolutionary Biology
26.1399,"Ecology, Evolution, Systematics and Population Biology, Other"
26.1401,Molecular Medicine
26.1501,Neuroscience
26.1503,Neurobiology and Anatomy
26.1504,Neurobiology and Behavior
26.1599,"Neurobiology and Neurosciences, Other"
26.9999,"Biological and Biomedical Sciences, Other"
27.0101,"Mathematics, General"
27.0103,Analysis and Functional Analysis
27.0105,Topology and Foundations
27.0199,"Mathematics, Other"
27.0301,"Applied Mathematics, General"
27.0303,Computational Mathematics
27.0304,Computational and Applied Mathematics
27.0305,Financial Mathematics
27.0306,Mathematical Biology
27.0399,"Applied Mathematics, Other"
27.0501,"Statistics, General"
27.0502,Mathematical Statistics and Probability
27.0503,Mathematics and Statistics
27.0599,"Statistics, Other"
27.9999,"Mathematics and Statistics, Other"
29.0201,"Intelligence, General"
29.0202,Strategic Intelligence
29.0203,Signal/Geospatial Intelligence
29.0204,"Command & Control (C3, C4I Systems and Operations)"
29.0205,Information Operations/Joint Information Operations
29.0206,Information/Psychological Warfare and Military Media Relations
29.0207,Cyber/Electronic Operations and Warfare
29.0299,"Intelligence, Command Control and Information Operations, Other"
29.0301,Combat Systems Engineering
29.0303,Engineering Acoustics
29.0305,Space Systems Operations
29.0306,Operational Oceanography
29.0307,Undersea Warfare
29.0399,"Military Applied Sciences, Other"
29.0401,Aerospace Ground Equipment Technology
29.0402,Air and Space Operations Technology
29.0404,Explosive Ordinance/Bomb Disposal
29.0405,"Joint Command/Task Force (C3, C4I Systems)"
29.0499,"Military Systems and Maintenance Technology, Other"
29.9999,"Military Technologies and Applied Sciences, Other"
30,"Multi-/Interdisciplinary Studies, General"
30.0101,Biological and Physical Sciences
30.0501,Peace Studies and Conflict Resolution
30.0601,Systems Science and Theory
30.0801,Mathematics and Computer Science
30.1001,Biopsychology
30.1101,Gerontology
30.1201,Historic Preservation and Conservation
30.1202,Cultural Resource Management and Policy Analysis
30.1299,"Historic Preservation and Conservation, Other"
30.1301,Medieval and Renaissance Studies
